ID,	TYPE,	DATEOFBIRTH,	EMAIL,	FIRSTNAME,	LASTNAME,	PASSWORD,	EMPLOYEENUMBER,	HIREDATE,	WORKINGHOURS,	RELATION,	DETAILS,	HV_ID
0050	, 'K',	'1964-01-29',	'Roxanne@Neugebauer.ch',	'Roxanne',	'Neugebauer',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0051	, 'K',	'1946-08-25',	'Joan@Ogi.ch',	'Joan',	'Ogi',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0052	, 'K',	'1950-07-16',	'Gwenda@Ricchiuto.ch',	'Gwenda',	'Ricchiuto',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0053	, 'K',	'1945-01-19',	'Elli@Weyermann.ch',	'Elli',	'Weyermann',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0054	, 'K',	'1957-09-06',	'Augustus@Winter.ch',	'Augustus',	'Winter',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0055	, 'K',	'1953-12-22',	'Vincent@Wyler.ch',	'Vincent',	'Wyler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0056	, 'K',	'1963-09-15',	'Doreen@Balz.ch',	'Doreen',	'Balz',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0057	, 'K',	'1956-11-25',	'Abraham@Dällenbach.ch',	'Abraham',	'Dällenbach',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0058	, 'K',	'1947-05-13',	'Hajo@Elmet.ch',	'Hajo',	'Elmet',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0059	, 'K',	'1963-03-12',	'Cellina@Graber.ch',	'Cellina',	'Graber',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0060	, 'K',	'1953-01-10',	'Nicky@Gschwind.ch',	'Nicky',	'Gschwind',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0061	, 'K',	'1953-01-16',	'Ellen@Kupper.ch',	'Ellen',	'Kupper',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0062	, 'K',	'1945-04-07',	'Giuseppa@Nast.ch',	'Giuseppa',	'Nast',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0063	, 'K',	'1956-10-11',	'Wolfram@Raharimanga.ch',	'Wolfram',	'Raharimanga',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0064	, 'K',	'1946-10-07',	'Sophia@Ruh.ch',	'Sophia',	'Ruh',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0065	, 'K',	'1945-10-16',	'Celine@Schaad.ch',	'Celine',	'Schaad',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0066	, 'K',	'1954-06-12',	'Berit@Schrag.ch',	'Berit',	'Schrag',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0067	, 'K',	'1967-05-25',	'Sylvia@Siffert.ch',	'Sylvia',	'Siffert',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0068	, 'K',	'1955-11-22',	'Jonathan@Wyss.ch',	'Jonathan',	'Wyss',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0069	, 'K',	'1954-10-26',	'Maxine@Zahnd.ch',	'Maxine',	'Zahnd',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0070	, 'K',	'1957-08-09',	'Renata@Engler.ch',	'Renata',	'Engler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0071	, 'K',	'1967-10-28',	'Grit@Frnka.ch',	'Grit',	'Frnka',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0072	, 'K',	'1956-09-21',	'Stefanie@Gugler.ch',	'Stefanie',	'Gugler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0073	, 'K',	'1964-01-08',	'Jesse@Hegner.ch',	'Jesse',	'Hegner',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0074	, 'K',	'1952-11-04',	'Selina@Lüdi.ch',	'Selina',	'Lüdi',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0075	, 'K',	'1960-11-17',	'Peer@Ochsner.ch',	'Peer',	'Ochsner',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0076	, 'K',	'1953-03-13',	'Karlheinz@Rindlisbacher.ch',	'Karlheinz',	'Rindlisbacher',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0077	, 'K',	'1962-11-15',	'Joe@Rued.ch',	'Joe',	'Rued',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0078	, 'K',	'1966-06-04',	'Lara@Thüler.ch',	'Lara',	'Thüler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0079	, 'K',	'1956-04-20',	'Giovanni@Zillig.ch',	'Giovanni',	'Zillig',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0080	, 'K',	'1960-04-08',	'Eleanor@Christener.ch',	'Eleanor',	'Christener',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0081	, 'K',	'1955-05-15',	'Constanze@Elmet.ch',	'Constanze',	'Elmet',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0082	, 'K',	'1947-07-10',	'Emmanuel@Eymann.ch',	'Emmanuel',	'Eymann',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0083	, 'K',	'1950-06-09',	'Lissy@Feldmann.ch',	'Lissy',	'Feldmann',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0084	, 'K',	'1947-05-25',	'Bob@Fuchser.ch',	'Bob',	'Fuchser',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0085	, 'K',	'1966-05-10',	'Denise@Ganguillet.ch',	'Denise',	'Ganguillet',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0086	, 'K',	'1947-04-04',	'Raffaela@Meyer.ch',	'Raffaela',	'Meyer',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0087	, 'K',	'1949-07-17',	'Cornelio@Pinna.ch',	'Cornelio',	'Pinna',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0088	, 'K',	'1945-04-10',	'Ben@Eiger.ch',	'Ben',	'Eiger',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0089	, 'K',	'1954-11-07',	'Tina@Fuhrer.ch',	'Tina',	'Fuhrer',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0090	, 'K',	'1953-07-31',	'Jeremy@Ganguillet.ch',	'Jeremy',	'Ganguillet',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0091	, 'K',	'1957-05-23',	'Boris@Gentile.ch',	'Boris',	'Gentile',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0092	, 'K',	'1954-02-18',	'Roxanne@Giachino.ch',	'Roxanne',	'Giachino',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0093	, 'K',	'1965-03-26',	'Raoul@Gianinazzi.ch',	'Raoul',	'Gianinazzi',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0094	, 'K',	'1946-11-17',	'Gunnar@Hess.ch',	'Gunnar',	'Hess',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0095	, 'K',	'1963-12-28',	'Viktor@Jäger.ch',	'Viktor',	'Jäger',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0096	, 'K',	'1959-12-02',	'Egbert@Kissling.ch',	'Egbert',	'Kissling',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0097	, 'K',	'1964-06-13',	'Beate@Plattner.ch',	'Beate',	'Plattner',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0098	, 'K',	'1957-06-23',	'Ruprecht@Rubin.ch',	'Ruprecht',	'Rubin',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0099	, 'K',	'1961-06-22',	'Julius@Tobler.ch',	'Julius',	'Tobler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0100	, 'K',	'1967-11-05',	'Melanie@Trojahn.ch',	'Melanie',	'Trojahn',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0101	, 'K',	'1951-12-09',	'Larissa@Vini.ch',	'Larissa',	'Vini',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0102	, 'K',	'1950-10-13',	'Melissa@Wille.ch',	'Melissa',	'Wille',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0103	, 'K',	'1961-12-09',	'Bianka@Zürcher.ch',	'Bianka',	'Zürcher',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0104	, 'K',	'1947-06-21',	'Ditmar@Eiger.ch',	'Ditmar',	'Eiger',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0105	, 'K',	'1964-07-30',	'Helge@Gafner.ch',	'Helge',	'Gafner',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0106	, 'K',	'1955-11-11',	'Mirella@Gerster.ch',	'Mirella',	'Gerster',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0107	, 'K',	'1967-05-05',	'Jeffery@Rimensberger.ch',	'Jeffery',	'Rimensberger',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0108	, 'K',	'1960-09-01',	'Lothar@Aeschbacher.ch',	'Lothar',	'Aeschbacher',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0109	, 'K',	'1952-03-25',	'Silke@Beyeler.ch',	'Silke',	'Beyeler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0110	, 'K',	'1961-01-01',	'Anette@Brönnimann.ch',	'Anette',	'Brönnimann',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0111	, 'K',	'1966-10-07',	'Gunnar@Eichenberger.ch',	'Gunnar',	'Eichenberger',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0112	, 'K',	'1949-09-27',	'Brigitta@Gilgen.ch',	'Brigitta',	'Gilgen',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0113	, 'K',	'1967-01-01',	'Martha@Gisler.ch',	'Martha',	'Gisler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0114	, 'K',	'1954-08-04',	'Bob@Helbling.ch',	'Bob',	'Helbling',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0115	, 'K',	'1959-09-03',	'Joshua@Jaun.ch',	'Joshua',	'Jaun',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0116	, 'K',	'1955-04-20',	'Larissa@Jent.ch',	'Larissa',	'Jent',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0117	, 'K',	'1957-09-14',	'Aurica@Bucher.ch',	'Aurica',	'Bucher',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0118	, 'K',	'1957-09-07',	'Bettina@Giesser.ch',	'Bettina',	'Giesser',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0119	, 'K',	'1961-02-24',	'Kirstin@Jahn.ch',	'Kirstin',	'Jahn',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0120	, 'K',	'1958-02-18',	'Fabiana@Petris.ch',	'Fabiana',	'Petris',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0121	, 'K',	'1948-11-13',	'Elina@Plüss.ch',	'Elina',	'Plüss',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0122	, 'K',	'1963-11-03',	'Olivia@Seethaler.ch',	'Olivia',	'Seethaler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0123	, 'K',	'1947-08-26',	'Arthur@Dalcher.ch',	'Arthur',	'Dalcher',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0124	, 'K',	'1950-12-12',	'Luther@Fräfel.ch',	'Luther',	'Fräfel',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0125	, 'K',	'1957-03-30',	'Adrian@Gerber.ch',	'Adrian',	'Gerber',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0126	, 'K',	'1962-11-04',	'Jochim@Grandjean.ch',	'Jochim',	'Grandjean',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
0127	, 'K',	'1957-06-07',	'Dennis@Martin.ch',	'Dennis',	'Martin',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	3
0128	, 'K',	'1957-10-27',	'Klemens@Neugebauer.ch',	'Klemens',	'Neugebauer',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	4
0129	, 'K',	'1957-05-10',	'Bjorn@Urwyler.ch',	'Bjorn',	'Urwyler',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	5
0130	, 'K',	'1964-09-13',	'Cellina@Utz.ch',	'Cellina',	'Utz',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	1
0131	, 'K',	'1945-08-30',	'Ismail@Viret.ch',	'Ismail',	'Viret',	NULL,	NULL,	NULL,	NULL,	NULL,	NULL,	2
